config_model_size,config_context_length,config_batch_size,config_mode,config_precision,mean_seconds,stdev_seconds,peak_reserved_gb,peak_device_used_gb,snapshot_path
small,256,1,forward_backward,bf16,0.03628440200118348,0.0026597301776563327,1.453125,1.453125,
small,256,1,forward_backward,fp32,0.04944933904334903,0.0,1.24609375,1.24609375,
small,256,1,forward_backward,fp32,0.037251634002313946,0.003284591733955461,1.255859375,1.255859375,
small,256,1,forward_backward,fp32,0.09203712029848247,0.16154444630452522,1.255859375,1.255859375,
small,256,1,forward_backward,fp32,0.04023305260343477,0.004292734286029581,1.255859375,1.255859375,
small,256,1,forward_backward,fp32,0.039629323245026174,0.004710741769524307,1.255859375,1.255859375,
small,256,1,forward_backward,fp32,0.03876402467722073,0.004190740308333396,1.255859375,1.255859375,
small,256,1,train_step,bf16,0.04555561350134667,0.002615482307127196,2.654296875,2.654296875,
small,256,1,train_step,fp32,0.05634133203420788,0.0,2.486328125,2.486328125,
small,256,1,train_step,fp32,0.04962841619853862,0.002842197059657584,2.486328125,2.486328125,
small,512,1,forward,bf16,0.014797303997329436,0.0011604352454455688,0.79296875,0.79296875,
small,512,1,forward,fp32,0.018048413912765682,0.0,0.6171875,0.6171875,
small,512,1,forward,fp32,0.016944957300438546,0.0017889062557115162,0.6171875,0.6171875,
small,512,1,forward,fp32,0.056492149911355226,0.12206553685634022,0.6171875,0.6171875,
small,512,1,forward,fp32,0.018028050614520907,0.0027977167665754928,0.6171875,0.6171875,
small,512,1,forward,fp32,0.019761542894411833,0.003993309924047589,0.6171875,0.6171875,
small,512,1,forward,fp32,0.01848055199952796,0.0025271985455894946,0.6171875,0.6171875,
small,512,1,forward_backward,bf16,0.03631748220650479,0.0028976614911290564,1.630859375,1.630859375,
small,512,1,forward_backward,fp32,0.04288184200413525,0.0,1.48828125,1.48828125,
small,512,1,forward_backward,fp32,0.051889406703412536,0.002514956015834958,1.48828125,1.48828125,
small,512,1,forward_backward,fp32,0.10521928292000667,0.16649989251749953,1.48828125,1.48828125,
small,512,1,forward_backward,fp32,0.05457904858049005,0.008612422193122676,1.48828125,1.48828125,
small,512,1,forward_backward,fp32,0.05336591760860756,0.010245819214480185,1.48828125,1.48828125,
small,512,1,forward_backward,fp32,0.05766329308971763,0.007696672280741267,1.48828125,1.48828125,
small,512,1,train_step,bf16,0.048129047395195815,0.0024199532819604666,2.7578125,2.7578125,
small,512,1,train_step,fp32,0.05254737799987197,0.0,2.580078125,2.580078125,
small,512,1,train_step,fp32,0.0594834795978386,0.0038977017781964135,2.609375,2.609375,
small,1024,1,forward,bf16,0.01574018830433488,0.0011263399903493404,0.896484375,0.896484375,
